Taxa,Year,FM,FO,Total,Feeds_used,Prod
Carps,1995,10,0,10,1970,4924
Carps,1996,10,0,10,2848,4924
Carps,1997,10,0,10,3797,4924
Carps,1998,10,0,10,4907,4924
Carps,1999,9,0,9,5584,4924
Carps,2000,9,0,9,5316,4924
Carps,2001,8,0,8,5581,4924
Carps,2002,8,0,8,6468,4924
Carps,2003,8,0,8,6917,4924
Carps,2004,8,0,8,6851,4924
Carps,2005,8,0,8,6984,4924
Carps,2006,5,0,5,7382,4924
Carps,2007,5,0,5,7872,4924
Carps,2010,3,0,3,10158,4924
Carps,2015,2,0,2,13501,4924
Carps,2020,1,0,1,16865,4924
Shrimps,1995,28,2,30,1392,928
Shrimps,1996,27,2,29,1376,928
Shrimps,1997,26,2,28,1418,928
Shrimps,1998,26,2,28,1558,928
Shrimps,1999,25,2,27,1709,928
Shrimps,2000,25,2,27,1751,928
Shrimps,2001,25,2,27,2045,928
Shrimps,2002,25,2,27,2174,928
Shrimps,2003,24,2,26,3006,928
Shrimps,2004,24,2,26,3548,928
Shrimps,2005,24,2,26,4005,928
Shrimps,2006,20,2,22,4480,928
Shrimps,2007,18,2,20,4803,928
Shrimps,2010,12,2,14,5268,928
Shrimps,2015,8,1.5,9.5,6833,928
Shrimps,2020,5,1,6,7631,928
Tilapias,1995,14,1,15,984,703
Tilapias,1996,13,1,14,1150,703
Tilapias,1997,13,1,14,1341,703
Tilapias,1998,12,1,13,1319,703
Tilapias,1999,12,1,13,1552,703
Tilapias,2000,11,1,12,1696,703
Tilapias,2001,11,1,12,1880,703
Tilapias,2002,10,1,11,1953,703
Tilapias,2003,10,1,11,2215,703
Tilapias,2004,9,1,10,2530,703
Tilapias,2005,9,1,10,2852,703
Tilapias,2006,6,0.5,6.5,3056,703
Tilapias,2007,5,0,5,3493,703
Tilapias,2010,3,0,3,5053,703
Tilapias,2015,2,0,2,9178,703
Tilapias,2020,1,0,1,13397,703
Marine fishes,1995,50,15,65,498,498
Marine fishes,1996,50,15,65,528,498
Marine fishes,1997,50,15,65,685,498
Marine fishes,1998,48,14,62,819,498
Marine fishes,1999,46,12,58,913,498
Marine fishes,2000,44,10,54,1172,498
Marine fishes,2001,42,10,52,1303,498
Marine fishes,2002,41,8,49,1511,498
Marine fishes,2003,40,8,48,1644,498
Marine fishes,2004,39,8,47,1697,498
Marine fishes,2005,36,8,44,1916,498
Marine fishes,2006,32,8,40,2216,498
Marine fishes,2007,30,7,37,2376,498
Marine fishes,2010,24,6,30,2587,498
Marine fishes,2015,16,4,20,3734,498
Marine fishes,2020,8,3,11,4998,498
Salmons,1995,45,25,70,806,537
Salmons,1996,44,25,69,965,537
Salmons,1997,43,25,68,1037,537
Salmons,1998,42,24,66,1105,537
Salmons,1999,41,24,65,1274,537
Salmons,2000,40,23,63,1332,537
Salmons,2001,39,23,62,1566,537
Salmons,2002,38,22,60,1591,537
Salmons,2003,37,22,59,1665,537
Salmons,2004,36,21,57,1794,537
Salmons,2005,35,21,56,1824,537
Salmons,2006,30,20,50,1912,537
Salmons,2007,24,16,40,1985,537
Salmons,2010,18,12,30,2109,537
Salmons,2015,12,8,20,3969,537
Salmons,2020,8,6,14,5832,537
Trouts,1995,40,20,60,588,392
Trouts,1996,38,20,58,632,392
Trouts,1997,38,18,56,662,392
Trouts,1998,37,18,55,687,392
Trouts,1999,37,17,54,665,392
Trouts,2000,36,17,53,660,392
Trouts,2001,36,17,53,734,392
Trouts,2002,35,16,51,728,392
Trouts,2003,35,16,51,734,392
Trouts,2004,34,16,50,744,392
Trouts,2005,34,16,50,736,392
Trouts,2006,30,15,45,793,392
Trouts,2007,24,12,36,867,392
Trouts,2010,18,8,26,978,392
Trouts,2015,12,6,18,1439,392
Trouts,2020,8,4,12,1925,392
Catfishes,1995,5,1,6,587,345
Catfishes,1996,4,1,5,673,345
Catfishes,1997,3,1,4,810,345
Catfishes,1998,5,1,6,729,345
Catfishes,1999,7,1,8,831,345
Catfishes,2000,8,1,9,772,345
Catfishes,2001,8,1.2,9.2,794,345
Catfishes,2002,10,1.4,11.4,873,345
Catfishes,2003,10,1.4,11.4,1318,345
Catfishes,2004,12,1.5,13.5,1523,345
Catfishes,2005,12,1.5,13.5,152,345
Catfishes,2006,10,1.7,11.7,1908,345
Catfishes,2007,8,1.7,9.7,2446,345
Catfishes,2010,6,1.6,7.6,3509,345
Catfishes,2015,3,1.4,4.4,5515,345
Catfishes,2020,2,1,3,7024,345
FW fishes,1995,55,8,63,11,107
FW fishes,1996,50,8,58,16,107
FW fishes,1997,50,8,58,20,107
FW fishes,1998,50,6,56,37,107
FW fishes,1999,50,6,56,44,107
FW fishes,2000,50,6,56,57,107
FW fishes,2001,45,6,51,58,107
