Taxa,Year,FM,FO,Total,Feeds_used,Prod
FW crustaceans,1999,23,2,27,284,104
FW crustaceans,2000,23,2,27,412,104
FW crustaceans,2001,22,2,27,513,104
FW crustaceans,2002,22,2,27,557,104
FW crustaceans,2003,21,2,27,776,104
FW crustaceans,2004,21,2,27,819,104
FW crustaceans,2005,20,1.5,27,905,104
FW crustaceans,2006,15,1.5,27,922,104
FW crustaceans,2007,14,1.5,27,1255,104
FW crustaceans,2010,13,1.5,27,1692,104
FW crustaceans,2015,10,1,27,2210,104
FW crustaceans,2020,5,0.5,27,2915,104
