Taxa,Year,FM,FO,Total,Feeds_used,Prod
FW crustaceans,1996,25,2,27,131,146
FW crustaceans,1997,24,2,27,179,193
FW crustaceans,1998,24,2,27,218,229
FW crustaceans,1999,23,2,27,284,303
FW crustaceans,2000,23,2,27,412,429
FW crustaceans,2001,22,2,27,513,521
FW crustaceans,2002,22,2,27,557,577
FW crustaceans,2003,21,2,27,776,785
FW crustaceans,2004,21,2,27,819,846
FW crustaceans,2005,20,1.5,27,905,914
FW crustaceans,2006,15,1.5,27,922,955
FW crustaceans,2007,14,1.5,27,1255,1272
FW crustaceans,2010,13,1.5,27,1692,1692
FW crustaceans,2015,10,1,27,2210,2115
FW crustaceans,2020,5,0.5,27,2915,2699
