Name_en,ISSCAAP_Group,Taxa,Group,Envrionment
Natantian decapods nei,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
Tropical spiny lobsters nei,"Lobsters, spiny-rock lobsters",Marine crustaceans,CRUSTACEA,Brackishwater
Snubnose pompano,Miscellaneous pelagic fishes,Marine fishes,PISCES,Brackishwater
Brown-marbled grouper,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
"Groupers, seabasses nei",Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Percoids nei,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Scats,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Spinefeet(=Rabbitfishes) nei,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Largemouth black bass,Miscellaneous freshwater fishes,Marine fishes,PISCES,Brackishwater
Turbot,"Flounders, halibuts, soles",Flatfishes,PISCES,Brackishwater
Blackchin tilapia,Tilapias and other cichlids,Tilapias,PISCES,Brackishwater
Indonesian snakehead,Miscellaneous freshwater fishes,Marine fishes,PISCES,Brackishwater
Meagre,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Eastern king prawn,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
Bagrid catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Brackishwater
Rainbow trout,Trouts,Trouts,PISCES,Brackishwater
Arctic char,"Salmons, trouts, smelts",Smelts,PISCES,Brackishwater
Pangas catfishes nei,Miscellaneous freshwater fishes,Catfishes,PISCES,Brackishwater
Atlantic salmon,Salmon,Salmons,PISCES,Brackishwater
White seabream,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Red swamp crawfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Brackishwater
Green tiger prawn,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
John's snapper,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Cyprinids nei,"Carps, barbels and other cyprinids",Carps,PISCES,Brackishwater
Torpedo-shaped catfishes nei,Miscellaneous freshwater fishes,Catfishes,PISCES,Brackishwater
Sea trout,Trouts,Trouts,PISCES,Brackishwater
Sabaki tilapia,Tilapias and other cichlids,Tilapias,PISCES,Brackishwater
Japanese eel,River eels,Eels,PISCES,Brackishwater
Blue tilapia,Tilapias and other cichlids,Tilapias,PISCES,Brackishwater
Black catfishes nei,Miscellaneous freshwater fishes,Catfishes,PISCES,Brackishwater
Mangrove red snapper,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Starry sturgeon,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Brackishwater
Marble goby,Miscellaneous freshwater fishes,Marine fishes,PISCES,Brackishwater
Fleshy prawn,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
Southern white shrimp,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
Beluga,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Brackishwater
Senegalese sole,"Flounders, halibuts, soles",Flatfishes,PISCES,Brackishwater
Soles nei,"Flounders, halibuts, soles",Flatfishes,PISCES,Brackishwater
Spotted seabass,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Brown meagre,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
Common prawn,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
Palaemonid shrimps nei,"Shrimps, prawns",Shrimps,CRUSTACEA,Brackishwater
Red drum,Miscellaneous coastal fishes,Marine fishes,PISCES,Brackishwater
European whitefish,"Salmons, trouts, smelts",Smelts,PISCES,Brackishwater
chicken,chicken,poultry,Poultry,Land
pig,pig,pig,Pig,Land
hen,hen,poultry,Poultry,Land
