3Alpha_Code,Taxonomic_Code,Scientific_Name1,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
LAU,1020100101,Petromyzon marinus,Sea lamprey,Lamproie marine,Lamprea marina,,,_œ_¸_______° ____Ñ€ÑÅ_º_°Ñè,Petromyzon marinus,Linnaeus 1758,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAR,1020100201,Lampetra fluviatilis,River lamprey,Lamproie de riviÃ¨re,Lamprea de rÃ_o,,,_œ_¸_______° Ñ€_µÑ‡___°Ñè,Lampetra fluviatilis,(Linnaeus 1758),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDK,1020100203,Lampetra aepyptera,Least brook lamprey,Petite lamproie de ruisseau,,,,,Lampetra aepyptera,(Abbott 1860),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDL,1020100204,Lampetra ayresii,Western American river lamprey,Lamproie de riviÃ¨re de lâ€™Ouest,,,,,Lampetra ayresii,(GÃ_nther 1870),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDN,1020100205,Lampetra planeri,European brook lamprey,Lamproie de ruisseau d'Europe,,,,,Lampetra planeri,(Bloch 1784),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDO,1020100206,Lampetra richardsoni,Western brook lamprey,Lamproie occidentale,,,,,Lampetra richardsoni,Vladykov & Follett 1965,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKQ,1020100207,Lampetra lanceolata,Turkish brook lamprey,Lamproie de ruisseau turque,,,,,Lampetra lanceolata,Kux & Steiner 1972,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKR,1020100208,Lampetra pacifica,Pacific brook lamprey,Lamproie de ruisseau du Pacif.,,,,,Lampetra pacifica,Vladykov 1973,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAY,1020100401,Ichthyomyzon unicuspis,Silver lamprey,Lamproie argentÃ©e,,,,,Ichthyomyzon unicuspis,Hubbs & Trautman 1937,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDE,1020100402,Ichthyomyzon bdellium,Ohio lamprey,Lamproie de lâ€™Ohio,,,,,Ichthyomyzon bdellium,(Jordan 1885),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDG,1020100403,Ichthyomyzon castaneus,Chestnut lamprey,Lamproie brune,,,,,Ichthyomyzon castaneus,Girard 1858,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDH,1020100404,Ichthyomyzon fossor,Northern brook lamprey,Lamproie du Nord,,,,,Ichthyomyzon fossor,Reighard & Cummins 1916,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDI,1020100405,Ichthyomyzon gagei,Southern brook lamprey,Lamproie mÃ©ridionale,,,,,Ichthyomyzon gagei,Hubbs & Trautman 1937,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDJ,1020100406,Ichthyomyzon greeleyi,Mountain brook lamprey,Lamproie dâ€™Allegheny,,,,,Ichthyomyzon greeleyi,Hubbs & Trautman 1937,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAF,1020100501,Eudontomyzon mariae,Ukrainian brook lamprey,Lamproie ukrainienne,,,,,Eudontomyzon mariae,(Berg 1931),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ICJ,1020100502,Eudontomyzon danfordi,Carpathian lamprey,Lamproie carpathique,,,,,Eudontomyzon danfordi,Regan 1911,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKG,1020100503,Eudontomyzon graecus,,,,,,,Eudontomyzon graecus,Renaud & Economidis 2010,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKJ,1020100504,Eudontomyzon hellenicus,Greek brook lamprey,Lamproie de ruisseau grecque,,,,,Eudontomyzon hellenicus,"Vladykov, Renaud, Kott & Economidis 1982",PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKL,1020100505,Eudontomyzon morii,Korean lamprey,Lamproie corÃ©enne,,,,,Eudontomyzon morii,(Berg 1931),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAW,1020100901,Caspiomyzon wagneri,Caspian lamprey,Lamproie caspienne,,,,,Caspiomyzon wagneri,(Kessler 1870),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LSZ,1020101101,Lethenteron camtschaticum,Arctic lamprey,Lamproie arctique,,,,,Lethenteron camtschaticum,(Tilesius 1811),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDQ,1020101102,Lethenteron kessleri,Siberian lamprey,Lamproie de SibÃ©rie,,,,,Lethenteron kessleri,(Anikin 1905),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDT,1020101103,Lethenteron ninae,Western Transcaucasian lamprey,Lamproie de la Transcaucasie,,,,,Lethenteron ninae,"Naseka, Tuniyev & Renaud 2009",PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDU,1020101104,Lethenteron reissneri,Far Eastern brook lamprey,Lamproie de lâ€™ExtrÃªmeâ€“Orient,,,,,Lethenteron reissneri,(Dybowski 1869),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDV,1020101105,Lethenteron zanandreai,Lombardy brook lamprey,Lamproie de Lombardie,,,,,Lethenteron zanandreai,Vladykov 1955,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKT,1020101106,Lethenteron alaskense,Alaskan brook lamprey,Lamproie de ruisseau dâ€™Alaska,,,,,Lethenteron alaskense,Vladykov & Kott 1978,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKU,1020101107,Lethenteron appendix,American brook lamprey,Lamproie de l'Est,,,,,Lethenteron appendix,(DeKay 1842),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAO,1020101202,Entosphenus tridentatus,Pacific lamprey,Lamproie du Pacifique,Lamprea del PacÃ_fico,,,,Entosphenus tridentatus,(Richardson 1836),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IJX,1020101203,Entosphenus folletti,Northern California lamprey,Lamproie de Californie septen.,,,,,Entosphenus folletti,Vladykov & Kott 1976,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IJY,1020101204,Entosphenus hubbsi,Kern brook lamprey,Lamproie de Californie centr.,,,,,Entosphenus hubbsi,Vladykov & Kott 1976,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IJZ,1020101205,Entosphenus lethophagus,Pitâ€“Klamath brook lamprey,Lamproie du bassin Pitâ€“Klamath,,,,,Entosphenus lethophagus,(Hubbs 1971),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKD,1020101206,Entosphenus macrostomus,Vancouver lamprey,Lamproie de lâ€™Ã®le de Vancouver,,,,,Entosphenus macrostomus,(Beamish 1982),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKE,1020101207,Entosphenus minimus,Miller Lake lamprey,Lamproie du lac Miller,,,,,Entosphenus minimus,(Bond & Kan 1973),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKF,1020101208,Entosphenus similis,Klamath lamprey,Lamproie de la riviÃ¨re Klamath,,,,,Entosphenus similis,Vladykov & Kott 1979,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKV,1020101301,Tetrapleurodon geminis,Jacona lamprey,Lamproie de Jacona,Lamprea de Jacona,,,,Tetrapleurodon geminis,ÃÅlvarez del Villar 1966,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKW,1020101302,Tetrapleurodon spadiceus,Chapala lamprey,Lamproie mexicaine,Lamprea de Chapala,,,,Tetrapleurodon spadiceus,(Bean 1887),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAS,10201XXXXX,Petromyzontidae,Lampreys nei,Lamproies nca,Lampreas nep,,,_œ_¸__________Ñ‹_µ,Petromyzontidae,,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ICE,1020200101,Mordacia lapicida,Chilean lamprey,Lamproie du Chili,,,,,Mordacia lapicida,(Gray 1851),MORDACIIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ICF,1020200102,Mordacia praecox,,,,,,,Mordacia praecox,Potter 1968,MORDACIIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAK,1020200103,Mordacia mordax,Australian lamprey,Lamproie australienne,,,,,Mordacia mordax,(Richardson 1846),MORDACIIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAE,1020300701,Geotria australis,Pouched lamprey,Lamproie saccifÃ¨re,,,,,Geotria australis,Gray 1851,GEOTRIIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYP,1030300201,Paramyxine atami,Brown hagfish,,,,,,Paramyxine atami,Dean 1904,MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYG,1030300301,Myxine glutinosa,Hagfish,Myxine,Pez moco,Ø_Ù…ÙƒØ© Ø_Ø¬ÙèÙˆØ_ Ø®Ø¨Ù_Ø«Ø©,å_§è¥¿æ´‹ç›_é_—,,Myxine glutinosa,Linnaeus 1758,MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYE,1030300401,Nemamyxine elongata,,,,,,,Nemamyxine elongata,Richardson 1958,MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYB,1030300601,Eptatretus burgeri,Inshore hagfish,,,,,,Eptatretus burgeri,(Girard 1855),MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYU,1030300602,Eptatretus stoutii,Pacific hagfish,,,,,,Eptatretus stoutii,(Lockington 1878),MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MWC,1030300603,Eptatretus cirrhatus,Broadgilled hagfish,,,,,,Eptatretus cirrhatus,(Forster 1801),MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYX,10303XXXXX,Myxinidae,Hagfishes nei,Mixynes nca,Mixinos nep,,,,Myxinidae,,MYXINIDAE,MYXINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEF,1040100101,Heterodontus francisci,Horn shark,Requin dormeur cornu,DormilÃ_n cornudo,Ù‚Ø±Ø´ Ù†ÙˆÙ‘Ø§Ù… Ù…ÙèÙ‚Ù_Ø±Ù‘Ù_Ù†,ä_›æ°èè™_é_¨,,Heterodontus francisci,(Girard 1855),HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEG,1040100102,Heterodontus galeatus,Crested bullhead shark,Requin dormeur Ã  crÃªte,DormilÃ_n carenado,Ù‚ÙêØ±Ø´ Ù†ÙˆÙ‘Ø§Ù… Ø°Ùˆ Ø_ÙèØ±ÙÅ,çœ¶åµ´è™_é_¨,,Heterodontus galeatus,(GÃ_nther 1870),HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEJ,1040100103,Heterodontus japonicus,Japanese bullhead shark,Requin dormeur nekozame,DormilÃ_n japonÃ©s,Ù‚Ø±Ù’Ø´ Ù†ÙˆÙ‘Ø§Ù… Ù_Ø§Ø¨Ø§Ù†Ù_,å®_çº_è™_é_¨,,Heterodontus japonicus,Macleay 1884,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEM,1040100104,Heterodontus mexicanus,Mexican hornshark,Requin dormeur buffle,DormilÃ_n bÃºfalo,Ù‚Ø±Ø´ Ù†ÙˆÙ‘Ø§Ù… Ù…ÙƒØ_Ù_ÙƒÙ_,å¢¨è¥¿å“¥è™_é_¨,,Heterodontus mexicanus,Taylor & Castro-Aguirre 1972,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEK,1040100105,Heterodontus portusjacksoni,Port Jackson shark,Requin dormeur taureau,DormilÃ_n toro,Ù‚Ø_Ø´ Ù†ÙˆÙ‘Ø§Ù… Ø«Ù_ÙˆÙ’Ø±,æ__å_§åˆ©äº_è™_é_¨,,Heterodontus portusjacksoni,(Meyer 1793),HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEQ,1040100106,Heterodontus quoyi,Galapagos bullhead shark,Requin dormeur bouledogue,DormilÃ_n de GalÃ¡pagos,Ù‚ÙêØ±Ø´ Ù†ÙˆÙ‘Ø§Ù… Ø¨ÙèÙ„Ø¯Øº,å_ æ‹‰å¸•å“¥æ–¯è™_é_¨,,Heterodontus quoyi,(FrÃ©minville 1840),HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEA,1040100107,Heterodontus ramalheira,Whitespotted bullhead shark,Requin dormeur chabot,DormilÃ_n boquigrande,Ù‚Ø_Ø´ Ù†ÙˆÙ‘Ø§Ù… Ù‚Ù_ÙèØ¯Ù‘,ç™_ç‚_è™_é_¨,,Heterodontus ramalheira,(Smith 1949),HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEZ,1040100108,Heterodontus zebra,Zebra bullhead shark,Requin dormeur zÃ©brÃ©,DormilÃ_n acebrado,Ù‚Ø±Ø´ Ù†ÙˆÙ‘Ø§Ù… Ø_Ù_Ø±Ù_Ø¯ÙêÙ_Ù‘ ,ç‹_çº_è™_é_¨,,Heterodontus zebra,(Gray 1831),HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HDQ,104XXXXXXX,Heterodontiformes,Bullhead sharks,,,,,,Heterodontiformes,,,HETERODONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXC,1050100101,Chlamydoselachus anguineus,Frilled shark,Requin lÃ©zard,TiburÃ_n anguila,Ù‚ÙêØ±Ø´ Ø¬ÙêÙêÙ„Ø¯ Ø§Ù„Ø_ÙêØ¸Ø§Ù_Ù_Ø©,è£™è__ç_®é_ƒé_¨,,Chlamydoselachus anguineus,Garman 1884,CHLAMYDOSELACHIDAE,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HWR,1050100102,Chlamydoselachus africana,African frilled shark,,,,,,Chlamydoselachus africana,Ebert & Compagno 2009,CHLAMYDOSELACHIDAE,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SBL,1050200201,Hexanchus griseus,Bluntnose sixgill shark,Requin griset,CaÃ±abota gris,,,,Hexanchus griseus,(Bonnaterre 1788),HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXN,1050200202,Hexanchus nakamurai,Bigeyed sixgill shark,,,,,,Hexanchus nakamurai,Teng 1962,HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXT,1050200301,Heptranchias perlo,Sharpnose sevengill shark,Requin perlon,CaÃ±abota bocadulce,Ù‚Ø±Ø´ Ù…ÙèØ±ØµÙ‘Ù_Ø_,å°–åê»ä¸ƒé_ƒé_¨,,Heptranchias perlo,(Bonnaterre 1788),HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
NTC,1050200502,Notorynchus cepedianus,Broadnose sevengill shark,Platnez,CaÃ±abota gata,,,,Notorynchus cepedianus,(PÃ©ron 1807),HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXW,105XXXXXXX,Hexanchiformes,Frilled and cow sharks,,,,,,Hexanchiformes,,,HEXANCHIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
BSK,1060100301,Cetorhinus maximus,Basking shark,PÃ¨lerin,Peregrino,,,_ê_ºÑƒ_»_° ___¸___°__Ñ‚ÑÅ_º_°Ñè,Cetorhinus maximus,(Gunnerus 1765),CETORHINIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CCT,1060200501,Carcharias taurus,Sand tiger shark,Requin taureau,Toro bacota,Ù‚ÙêØ±Ø´ Ø«Ù_ÙˆØ± ,é”¥é_¿é_¨,,Carcharias taurus,Rafinesque 1810,ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LOU,1060200502,Carcharias tricuspidatus,Indian sand tiger,,,,,,Carcharias tricuspidatus,Day 1878,ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LOO,1060200601,Odontaspis ferox,Smalltooth sand tiger,Requin fÃ©roce,Solrayo,Ù‚Ø±Ø´ Ø«ÙˆØ± ØµØºÙ_Ø± Ø§Ù„Ø£Ø_Ù†Ø§Ù†,å‡¶çŒ›é”¥åˆºé_¨,,Odontaspis ferox,(Risso 1810),ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ODH,1060200602,Odontaspis noronhai,Bigeye sand tiger shark,Requin noronhai,Solrayo ojigrande,Ù‚ÙêØ±Ø´ Ø«Ù_ÙˆØ± ÙƒØ¨Ù_Ø± Ø§Ù„Ø_Ù_Ù†Ù_Ù†,å_§çœ_é”¥é_¿é_¨,,Odontaspis noronhai,(Maul 1955),ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMO,1060301201,Mitsukurina owstoni,Goblin shark,Requin lutin,TiburÃ_n duende,,,,Mitsukurina owstoni,Jordan 1898,MITSUKURINIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PSK,1060403601,Pseudocarcharias kamoharai,Crocodile shark,Requin crocodile,TiburÃ_n cocodrilo,Ù‚ÙêØ±Ø´ ØªÙêÙ…Ø_Ø§Ø_,è’_å_Ÿæ‹Ÿé”¥é_¿é_¨,,Pseudocarcharias kamoharai,(Matsubara 1936),PSEUDOCARCHARIIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMP,1060500101,Megachasma pelagios,Megamouth shark,Requin grande guele,TiburÃ_n bocudo,Ù‚ÙêØ±Ø´ ÙƒØ¨Ù_Ø± Ø§Ù„ÙÅÙ… ,å_§åè£é_¨,,Megachasma pelagios,"Taylor, Compagno & Struhsaker 1983",MEGACHASMIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ALV,1060600601,Alopias vulpinus,Thresher,Renard,Zorro,Ø§Ù„Ù‚Ø±Ø´ Ø§Ù„Ø«Ù‘Ø_Ù„Ø¨,ç‹êå_¢é•¿å°_é_¨,_›_¸ÑÅ_¸Ñ†_° ____Ñ€ÑÅ_º_°Ñè ___±Ñ‹_º_______µ_____°Ñè,Alopias vulpinus,(Bonnaterre 1788),ALOPIIDAE,LAMNIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
