Taxa,Year,FM,FO,Total,Feeds_used,Prod
Trouts,2015,12,6,18,1439,1107
Trouts,2020,8,4,12,1925,1481
Catfishes,1995,5,1,6,587,345
Catfishes,1996,4,1,5,673,396
Catfishes,1997,3,1,4,810,488
Catfishes,1998,5,1,6,729,462
Catfishes,1999,7,1,8,831,540
Catfishes,2000,8,1,9,772,529
Catfishes,2001,8,1.2,9.2,794,559
Catfishes,2002,10,1.4,11.4,873,667
Catfishes,2003,10,1.4,11.4,1318,1034
Catfishes,2004,12,1.5,13.5,1523,1269
Catfishes,2005,12,1.5,13.5,152,1500
Catfishes,2006,10,1.7,11.7,1908,1792
Catfishes,2007,8,1.7,9.7,2446,2265
Catfishes,2010,6,1.6,7.6,3509,3205
Catfishes,2015,3,1.4,4.4,5515,4924
Catfishes,2020,2,1,3,7024,6589
FW fishes,1995,55,8,63,11,107
FW fishes,1996,50,8,58,16,131
FW fishes,1997,50,8,58,20,145
FW fishes,1998,50,6,56,37,234
FW fishes,1999,50,6,56,44,247
FW fishes,2000,50,6,56,57,285
FW fishes,2001,45,6,51,58,244
FW fishes,2002,45,5,50,81,291
FW fishes,2003,45,5,50,269,842
FW fishes,2004,45,5,50,341,948
FW fishes,2005,45,5,50,426,1064
FW fishes,2006,40,5,45,512,1163
FW fishes,2007,40,5,45,639,1331
FW fishes,2010,35,4,39,996,1660
FW fishes,2015,25,3,28,1937,2691
FW fishes,2020,15,2,17,3061,3601
Eels,1995,65,8,73,338,188
Eels,1996,65,8,73,400,234
Eels,1997,64,8,72,400,234
Eels,1998,63,6,69,370,226
Eels,1999,63,6,69,359,219
Eels,2000,62,6,68,351,212
Eels,2001,62,6,68,329,210
Eels,2002,61,5,66,332,210
Eels,2003,61,5,66,332,210
Eels,2004,60,5,65,337,224
Eels,2005,60,5,65,327,217
Eels,2006,55,5,60,363,239
Eels,2007,50,5,55,415,273
Eels,2010,45,4,49,416,271
Eels,2015,35,3,38,351,241
Eels,2020,25,2,27,354,241
Milkfish,1995,15,3,18,220,366
Milkfish,1996,14,3,17,223,371
Milkfish,1997,13,3,16,223,364
Milkfish,1998,12,2,14,243,380
Milkfish,1999,11,2,13,292,442
Milkfish,2000,10,2,12,318,468
Milkfish,2001,9,1,10,347,495
Milkfish,2002,8,1,9,380,528
Milkfish,2003,7,1,8,480,552
Milkfish,2004,6,1,7,436,574
Milkfish,2005,5,1,6,464,595
Milkfish,2006,3,1,4,468,585
Milkfish,2007,3,1,4,547,667
Milkfish,2010,3,1,4,728,809
Milkfish,2015,2,1,3,1069,1188
Milkfish,2020,2,1,3,1399,1590
FW crustaceans,1995,25,2,27,91,104
FW crustaceans,1996,25,2,27,131,146
FW crustaceans,1997,24,2,26,179,193
FW crustaceans,1998,24,2,26,218,229
FW crustaceans,1999,23,2,25,284,303
FW crustaceans,2000,23,2,25,412,429
FW crustaceans,2001,22,2,24,513,521
FW crustaceans,2002,22,2,24,557,577
FW crustaceans,2003,21,2,23,776,785
FW crustaceans,2004,21,2,23,819,846
FW crustaceans,2005,20,1.5,21.5,905,914
FW crustaceans,2006,15,1.5,16.5,922,955
FW crustaceans,2007,14,1.5,15.5,1255,1272
FW crustaceans,2010,13,1.5,14.5,1692,1692
FW crustaceans,2015,10,1,11,2210,2115
FW crustaceans,2020,5,0.5,5.5,2915,2699
